EmployeeNumber,Attrition,Department,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance
817,No,Research & Development,7,3,1,3,3,3,Research Director,3,0,No,11,3,4,80,0,14,3,4
819,Yes,Research & Development,16,3,1,1,3,2,Sales Executive,1,5,No,15,3,3,80,0,6,3,3
820,No,Research & Development,2,2,1,3,3,4,Manager,4,1,Yes,11,3,3,80,1,26,3,2
823,No,Research & Development,1,3,1,3,3,2,Manufacturing Director,2,0,No,15,3,1,80,1,10,2,3
824,No,Research & Development,23,2,1,3,4,1,Research Scientist,3,1,No,24,4,3,80,1,10,3,3
825,Yes,Research & Development,2,4,1,4,3,5,Research Director,2,7,Yes,12,3,4,80,0,40,2,3
826,No,Research & Development,1,4,1,4,4,1,Research Scientist,3,3,No,13,3,3,80,0,7,0,3
827,No,Research & Development,1,2,1,4,2,2,Manufacturing Director,4,9,Yes,13,3,4,80,1,8,4,3
828,Yes,Research & Development,2,4,1,3,3,1,Research Scientist,3,6,No,17,3,4,80,0,5,3,2
829,No,Research & Development,13,3,1,3,3,1,Human Resources,2,4,No,13,3,2,80,1,8,2,3
830,No,Research & Development,4,3,1,3,2,2,Manufacturing Director,3,1,No,12,3,3,80,1,14,3,3
832,No,Research & Development,16,4,1,1,2,2,Laboratory Technician,3,6,No,14,3,4,80,0,10,6,3
833,No,Research & Development,2,3,1,3,2,2,Manufacturing Director,4,5,Yes,24,4,2,80,0,12,4,2
834,No,Research & Development,2,3,1,2,2,1,Research Scientist,3,1,No,14,3,4,80,0,1,3,3
836,No,Research & Development,29,3,1,2,3,2,Manufacturing Director,2,1,No,13,3,4,80,1,10,3,2
837,No,Research & Development,12,3,1,1,2,2,Healthcare Representative,1,2,No,15,3,3,80,1,13,3,2
838,No,Research & Development,16,4,1,3,2,1,Research Scientist,4,1,No,16,3,3,80,0,6,3,3
840,Yes,Research & Development,11,3,1,3,3,3,Sales Executive,4,1,No,18,3,1,80,2,9,3,4
842,Yes,Research & Development,2,1,1,3,3,2,Sales Executive,4,4,No,16,3,3,80,0,12,3,2
843,No,Research & Development,14,2,1,2,3,4,Research Director,1,6,No,24,4,3,80,1,22,3,3
844,No,Research & Development,5,1,1,3,2,3,Research Director,4,1,Yes,16,3,2,80,1,9,3,3
845,No,Research & Development,7,3,1,3,3,3,Manufacturing Director,3,3,No,21,4,2,80,0,17,3,4
846,No,Research & Development,2,4,1,2,3,2,Sales Executive,2,1,Yes,20,4,1,80,0,8,2,3
847,No,Research & Development,3,2,1,3,3,1,Human Resources,4,0,No,19,3,3,80,1,4,1,1
848,Yes,Research & Development,5,2,1,3,2,1,Research Scientist,3,1,Yes,14,3,1,80,1,8,2,3
850,No,Research & Development,3,3,1,4,3,1,Research Scientist,4,1,No,11,3,3,80,3,0,6,2
851,No,Research & Development,26,4,1,1,3,4,Manager,3,2,No,14,3,3,80,1,29,2,2
852,No,Research & Development,4,3,1,4,3,2,Healthcare Representative,2,9,No,12,3,4,80,0,10,2,2
854,No,Research & Development,2,1,1,1,4,1,Research Scientist,1,7,No,13,3,3,80,0,6,3,2
855,No,Research & Development,1,3,1,1,4,2,Sales Executive,1,1,No,22,4,1,80,1,9,5,3
856,No,Research & Development,27,1,1,3,2,1,Research Scientist,1,1,No,11,3,4,80,0,6,3,2
857,No,Research & Development,1,2,1,2,3,2,Sales Executive,4,1,Yes,14,3,4,80,1,18,1,2
859,No,Research & Development,13,4,1,2,3,2,Sales Executive,4,2,No,11,3,3,80,1,8,3,2
861,No,Research & Development,5,4,1,2,2,1,Research Scientist,4,9,No,12,3,2,80,1,10,3,2
862,No,Research & Development,7,2,1,1,2,3,Sales Executive,4,7,Yes,18,3,4,80,1,35,3,3
864,No,Research & Development,9,3,1,4,3,3,Sales Executive,1,4,Yes,12,3,3,80,1,18,2,3
865,No,Research & Development,8,2,1,3,4,2,Research Scientist,3,5,No,12,3,3,80,1,9,3,2
867,No,Research & Development,25,4,1,3,2,4,Manufacturing Director,4,3,No,22,4,3,80,0,31,3,3
868,No,Research & Development,16,4,1,4,2,2,Sales Executive,3,4,No,19,3,4,80,2,9,2,3
869,No,Research & Development,8,2,1,2,2,1,Human Resources,4,1,No,13,3,4,80,1,6,6,3
872,No,Research & Development,1,2,1,4,2,2,Manufacturing Director,4,6,No,22,4,1,80,2,4,2,1
874,No,Research & Development,8,4,1,1,4,1,Laboratory Technician,4,2,Yes,24,4,3,80,1,10,2,2
875,No,Research & Development,2,1,1,2,3,1,Research Scientist,4,5,Yes,14,3,4,80,0,8,2,3
878,No,Research & Development,8,3,1,1,2,1,Human Resources,1,0,No,21,4,3,80,0,6,3,3
879,No,Research & Development,3,1,1,3,3,2,Sales Executive,1,1,Yes,18,3,4,80,0,5,3,3
880,No,Research & Development,9,3,1,4,2,3,Manufacturing Director,3,1,Yes,20,4,2,80,1,17,2,3
881,Yes,Research & Development,25,4,1,4,3,1,Research Scientist,2,1,Yes,19,3,1,80,1,10,3,2
882,No,Research & Development,1,3,1,4,3,1,Laboratory Technician,4,0,No,12,3,2,80,1,4,2,3
885,No,Research & Development,4,1,1,3,2,2,Sales Executive,1,1,No,12,3,1,80,0,5,1,4
887,No,Research & Development,1,3,1,3,3,1,Research Scientist,1,2,No,16,3,2,80,1,7,2,3
888,No,Research & Development,4,1,1,1,2,1,Laboratory Technician,4,0,No,17,3,4,80,0,6,2,2
889,No,Research & Development,5,2,1,2,3,2,Sales Executive,2,1,No,14,3,4,80,1,10,3,3
893,No,Research & Development,9,3,1,2,2,1,Sales Representative,2,0,No,19,3,4,80,1,3,3,3
894,No,Research & Development,3,3,1,3,4,2,Laboratory Technician,4,2,Yes,13,3,2,80,1,17,1,2
895,No,Research & Development,11,4,1,4,3,1,Research Scientist,4,3,Yes,19,3,2,80,1,8,2,3
896,Yes,Research & Development,1,3,1,2,2,1,Sales Representative,3,6,Yes,19,3,3,80,3,5,3,3
897,No,Research & Development,8,3,1,1,3,4,Sales Executive,4,5,No,14,3,3,80,1,28,3,3
899,No,Research & Development,25,3,1,4,2,3,Manufacturing Director,2,3,No,16,3,1,80,0,16,2,3
900,No,Research & Development,21,2,1,3,3,1,Sales Representative,4,5,No,15,3,2,80,1,10,3,3
901,No,Research & Development,23,4,1,4,3,4,Research Director,4,6,No,18,3,3,80,0,33,0,3
902,No,Research & Development,1,3,1,4,3,2,Healthcare Representative,4,4,No,13,3,2,80,1,12,2,2
903,No,Research & Development,2,2,1,3,3,2,Sales Executive,4,0,Yes,22,4,1,80,1,8,2,3
904,No,Research & Development,19,2,1,1,3,3,Sales Executive,2,1,Yes,13,3,4,80,0,10,2,3
905,No,Research & Development,2,4,1,1,3,4,Manager,1,1,No,11,3,4,80,1,31,3,3
909,No,Research & Development,2,3,1,4,2,2,Human Resources,4,8,No,11,3,3,80,2,13,2,3
910,No,Research & Development,3,2,1,4,3,1,Human Resources,2,3,Yes,11,3,3,80,1,7,4,4
911,Yes,Research & Development,25,4,1,1,3,1,Laboratory Technician,4,1,Yes,24,4,3,80,0,1,2,1
912,No,Research & Development,7,1,1,1,2,1,Laboratory Technician,4,6,No,14,3,3,80,3,8,5,3
913,No,Research & Development,9,2,1,2,3,1,Research Scientist,1,1,Yes,13,3,4,80,0,8,0,3
916,No,Research & Development,5,4,1,1,3,2,Sales Executive,4,1,No,14,3,2,80,0,4,3,3
918,Yes,Research & Development,2,1,1,4,2,1,Laboratory Technician,4,9,Yes,14,3,4,80,1,3,3,2
920,No,Research & Development,8,3,1,1,3,2,Manufacturing Director,2,4,No,21,4,3,80,1,4,2,4
922,Yes,Research & Development,2,3,1,3,2,1,Sales Representative,3,1,No,13,3,4,80,0,2,3,2
923,Yes,Research & Development,18,1,1,4,3,1,Research Scientist,4,1,No,19,3,1,80,0,1,3,2
924,No,Research & Development,14,1,1,3,3,2,Healthcare Representative,4,0,Yes,17,3,1,80,1,17,2,2
925,No,Research & Development,2,4,1,4,2,1,Sales Representative,4,1,Yes,18,3,1,80,0,3,3,2
926,Yes,Research & Development,3,1,1,2,3,2,Manufacturing Director,3,0,Yes,19,3,1,80,1,4,3,4
927,Yes,Research & Development,2,4,1,2,1,1,Laboratory Technician,4,4,Yes,13,3,3,80,1,10,1,2
930,No,Research & Development,9,3,1,3,3,1,Research Scientist,3,5,No,18,3,2,80,1,6,2,3
932,Yes,Research & Development,6,3,1,4,3,1,Laboratory Technician,1,7,Yes,21,4,4,80,0,8,2,1
933,No,Research & Development,4,3,1,2,3,1,Research Scientist,3,1,No,19,3,3,80,0,1,2,3
934,No,Research & Development,10,3,1,2,3,1,Laboratory Technician,2,1,No,14,3,2,80,2,1,3,3
936,No,Research & Development,14,2,1,3,2,2,Sales Executive,3,7,No,17,3,1,80,0,10,6,3
939,No,Research & Development,1,4,1,3,2,1,Research Scientist,1,3,Yes,11,3,2,80,0,6,1,3
940,No,Research & Development,5,3,1,3,2,3,Healthcare Representative,2,2,Yes,13,3,4,80,1,24,3,3
941,No,Research & Development,7,4,1,2,2,1,Sales Representative,3,3,No,15,3,2,80,0,13,2,4
942,No,Research & Development,21,1,1,4,3,2,Healthcare Representative,4,1,Yes,25,4,4,80,1,10,2,1
944,No,Research & Development,8,2,1,1,3,3,Laboratory Technician,2,4,No,11,3,3,80,1,29,3,2
945,No,Research & Development,20,4,1,4,3,1,Research Scientist,3,4,No,17,3,1,80,2,13,2,2
947,No,Research & Development,20,2,1,4,3,2,Sales Executive,3,1,No,13,3,4,80,1,9,2,2
949,No,Research & Development,7,4,1,2,3,1,Research Scientist,4,2,No,18,3,3,80,0,8,6,3
950,No,Research & Development,1,3,1,4,3,3,Research Director,1,1,No,13,3,2,80,1,15,3,3
951,No,Research & Development,1,3,1,3,2,1,Laboratory Technician,2,6,No,20,4,3,80,0,5,3,3
952,Yes,Research & Development,19,2,1,3,2,1,Sales Representative,2,1,Yes,18,3,3,80,3,1,2,3
954,No,Research & Development,10,4,1,1,2,3,Sales Executive,2,2,No,12,3,2,80,1,11,2,2
956,No,Research & Development,1,3,1,3,2,2,Sales Executive,1,1,No,12,3,2,80,0,7,2,3
957,No,Research & Development,6,3,1,4,3,1,Laboratory Technician,1,2,Yes,13,3,3,80,0,20,3,3
958,No,Research & Development,2,4,1,3,3,1,Laboratory Technician,3,4,No,21,4,3,80,0,16,6,3
959,Yes,Research & Development,21,3,1,4,2,1,Sales Representative,2,1,Yes,13,3,2,80,0,1,3,4
960,Yes,Research & Development,4,3,1,1,3,1,Laboratory Technician,1,1,No,19,3,2,80,0,1,2,3
961,No,Research & Development,12,3,1,4,3,2,Healthcare Representative,4,0,Yes,11,3,3,80,2,10,2,1
964,No,Research & Development,9,4,1,4,3,1,Research Scientist,2,8,Yes,14,3,4,80,1,3,2,3
966,No,Research & Development,3,4,1,3,3,2,Manufacturing Director,1,1,No,12,3,3,80,1,8,2,4
967,Yes,Research & Development,3,1,1,3,2,3,Sales Executive,4,1,Yes,11,3,1,80,1,16,6,3
969,No,Research & Development,1,3,1,2,2,2,Healthcare Representative,4,0,No,14,3,1,80,0,6,3,3
970,Yes,Research & Development,1,4,1,1,2,3,Sales Executive,3,5,No,11,3,3,80,0,17,2,1
972,No,Research & Development,4,2,1,3,3,2,Laboratory Technician,2,1,No,12,3,2,80,0,9,5,2
974,No,Research & Development,20,3,1,3,3,1,Sales Representative,4,1,No,15,3,2,80,1,3,5,3
975,No,Research & Development,18,3,1,3,3,2,Sales Executive,3,1,No,16,3,2,80,0,5,3,3
976,No,Research & Development,1,2,1,4,3,4,Manager,4,2,No,15,3,2,80,1,26,2,2
977,Yes,Research & Development,2,3,1,4,3,1,Research Scientist,3,4,No,24,4,1,80,0,7,4,3
981,No,Research & Development,2,2,1,3,3,4,Manager,3,6,No,13,3,3,80,1,22,3,4
982,No,Research & Development,8,2,1,3,3,3,Sales Executive,3,5,No,11,3,1,80,1,10,2,4
983,No,Research & Development,10,3,1,3,3,2,Sales Executive,4,1,Yes,13,3,2,80,0,6,1,3
984,No,Research & Development,3,4,1,4,3,3,Sales Executive,4,6,No,13,3,2,80,1,12,2,3
985,No,Research & Development,2,5,1,1,4,3,Sales Executive,3,0,No,18,3,4,80,0,9,3,3
986,Yes,Research & Development,24,3,1,2,4,4,Sales Executive,2,4,Yes,16,3,4,80,0,22,2,2
987,No,Research & Development,16,4,1,3,4,2,Manufacturing Director,3,1,Yes,19,3,3,80,0,20,3,4
990,No,Research & Development,8,4,1,1,3,2,Sales Executive,4,4,No,13,3,4,80,2,12,3,3
991,Yes,Research & Development,9,2,1,3,2,1,Research Scientist,1,0,Yes,22,4,1,80,0,4,0,3
992,No,Research & Development,17,3,1,4,3,4,Manager,3,1,No,11,3,4,80,0,10,2,3
994,Yes,Research & Development,10,3,1,4,2,1,Research Scientist,1,6,Yes,20,4,3,80,0,3,5,3
995,No,Research & Development,13,1,1,2,3,1,Research Scientist,4,3,No,18,3,1,80,0,5,4,3
996,No,Research & Development,1,4,1,4,3,1,Laboratory Technician,4,3,No,14,3,4,80,2,8,2,3
997,No,Research & Development,1,2,1,4,3,4,Research Director,4,9,No,22,4,3,80,1,32,1,2
998,No,Research & Development,1,4,1,3,4,2,Healthcare Representative,2,1,Yes,13,3,1,80,1,6,2,3
999,No,Research & Development,9,3,1,1,3,5,Research Director,3,2,No,17,3,2,80,1,21,2,4
1001,No,Research & Development,16,4,1,3,3,1,Laboratory Technician,2,9,No,14,3,2,80,1,4,2,3
1002,No,Research & Development,23,2,1,4,3,2,Laboratory Technician,1,1,Yes,15,3,3,80,1,9,2,3
1003,No,Research & Development,4,2,1,4,3,2,Sales Executive,4,1,Yes,17,3,3,80,0,9,0,3
1004,Yes,Research & Development,22,3,1,1,3,1,Research Scientist,3,4,Yes,11,3,2,80,0,7,2,3
1005,No,Research & Development,24,3,1,4,3,4,Manufacturing Director,3,3,Yes,18,3,4,80,1,22,2,3
1006,No,Research & Development,10,1,1,3,3,1,Research Scientist,3,0,No,17,3,2,80,1,3,0,2
1007,No,Research & Development,7,2,1,4,3,3,Manufacturing Director,3,6,No,13,3,2,80,1,13,3,3
1009,No,Research & Development,17,1,1,4,2,2,Manufacturing Director,3,1,No,15,3,2,80,2,5,6,3
1010,Yes,Research & Development,14,4,1,3,2,1,Laboratory Technician,2,1,Yes,24,4,4,80,1,5,2,1
1011,No,Research & Development,1,1,1,3,3,2,Manufacturing Director,1,1,No,12,3,3,80,1,4,1,3
1012,No,Research & Development,5,2,1,2,3,1,Research Scientist,4,1,No,15,3,4,80,0,0,2,3
1013,No,Research & Development,17,3,1,3,3,3,Manufacturing Director,3,8,No,11,3,3,80,1,22,2,3
1014,No,Research & Development,25,4,1,3,3,3,Healthcare Representative,3,1,Yes,11,3,3,80,1,16,3,2
1015,No,Research & Development,8,2,1,2,4,3,Research Director,1,0,Yes,12,3,3,80,3,9,4,2
1016,Yes,Research & Development,11,3,1,4,2,1,Research Scientist,1,1,Yes,15,3,1,80,0,1,2,3
1017,Yes,Research & Development,5,3,1,2,3,1,Laboratory Technician,2,0,No,17,3,1,80,0,4,3,3
1018,No,Research & Development,2,2,1,4,4,2,Manufacturing Director,4,1,No,12,3,2,80,0,8,2,3
1019,No,Research & Development,8,1,1,2,1,1,Laboratory Technician,1,1,No,15,3,1,80,1,4,3,2
1022,No,Research & Development,6,3,1,1,2,2,Healthcare Representative,3,2,No,13,3,4,80,0,19,0,3
1024,No,Research & Development,4,4,1,3,2,3,Healthcare Representative,3,7,No,14,3,2,80,0,27,3,3
1025,No,Research & Development,7,2,1,4,3,2,Manufacturing Director,3,6,No,14,3,2,80,0,8,6,3
1026,No,Research & Development,1,1,1,4,2,4,Manufacturing Director,4,1,No,16,3,3,80,1,21,3,3
1027,No,Research & Development,2,4,1,1,3,2,Manufacturing Director,4,0,No,18,3,2,80,1,4,2,3
1028,No,Research & Development,10,3,1,2,3,1,Laboratory Technician,4,1,No,20,4,1,80,1,3,4,2
1029,No,Research & Development,5,2,1,4,3,5,Manager,3,6,No,13,3,2,80,0,21,3,4
1030,No,Research & Development,9,3,1,1,3,1,Laboratory Technician,4,4,No,18,3,2,80,0,8,5,3
1032,No,Research & Development,2,3,1,3,2,4,Manufacturing Director,4,3,Yes,13,3,1,80,0,30,4,3
1033,Yes,Research & Development,11,2,1,1,1,2,Healthcare Representative,2,5,No,15,3,1,80,0,15,2,1
1034,No,Research & Development,18,4,1,3,3,2,Healthcare Representative,2,3,Yes,14,3,4,80,2,17,3,3
1035,No,Research & Development,7,1,1,2,1,5,Research Director,3,1,No,22,4,2,80,2,21,3,3
1036,No,Research & Development,3,4,1,2,3,2,Sales Executive,4,8,Yes,12,3,3,80,0,19,1,3
1037,Yes,Research & Development,29,2,1,2,1,2,Sales Executive,1,8,No,18,3,4,80,0,7,6,3
1038,Yes,Research & Development,2,1,1,1,1,5,Manager,4,1,No,15,3,4,80,1,33,3,3
1039,No,Research & Development,28,3,1,4,4,4,Sales Executive,4,3,Yes,18,3,3,80,1,23,2,3
1040,No,Research & Development,1,3,1,4,3,2,Sales Executive,3,0,No,12,3,1,80,1,19,3,3
1042,Yes,Research & Development,16,4,1,3,4,1,Laboratory Technician,1,1,No,16,3,3,80,0,18,1,3
1043,No,Research & Development,22,3,1,4,3,3,Manufacturing Director,1,1,Yes,13,3,3,80,0,21,2,3
1044,No,Research & Development,8,1,1,2,2,1,Sales Representative,4,0,No,19,3,4,80,0,3,2,2
1045,No,Research & Development,11,2,1,4,3,4,Manager,4,3,No,13,3,2,80,1,26,4,4
1046,No,Research & Development,29,4,1,4,3,1,Laboratory Technician,3,9,No,12,3,2,80,0,10,2,3
1047,No,Research & Development,1,4,1,2,4,2,Sales Executive,4,0,No,11,3,4,80,1,16,2,2
1048,No,Research & Development,1,2,1,2,3,3,Manager,4,3,Yes,14,3,3,80,1,14,1,1
1049,No,Research & Development,24,4,1,2,3,1,Human Resources,2,1,No,16,3,1,80,0,6,3,3
1050,No,Research & Development,2,3,1,3,2,3,Sales Executive,2,2,No,12,3,1,80,1,30,2,3
1052,Yes,Research & Development,15,3,1,1,3,2,Laboratory Technician,3,7,No,14,3,2,80,1,9,3,2
1053,Yes,Research & Development,2,3,1,1,3,1,Research Scientist,1,6,Yes,14,3,2,80,1,6,2,3
1055,No,Research & Development,10,4,1,3,3,1,Sales Representative,3,1,Yes,19,3,4,80,1,1,2,3
1056,No,Research & Development,10,1,1,4,3,1,Sales Representative,2,1,No,22,4,2,80,0,1,5,3
1060,No,Research & Development,3,4,1,3,3,1,Research Scientist,3,3,No,16,3,1,80,1,8,2,3
1061,No,Research & Development,2,4,1,2,3,5,Research Director,3,2,Yes,11,3,4,80,1,29,2,2
1062,No,Research & Development,3,3,1,4,3,2,Healthcare Representative,2,3,No,15,3,1,80,0,8,3,2
1066,No,Research & Development,26,3,1,3,3,2,Sales Executive,1,1,No,14,3,2,80,1,8,3,2
1068,No,Research & Development,1,1,1,1,2,1,Research Scientist,3,1,No,13,3,3,80,2,5,5,3
1069,No,Research & Development,1,4,1,4,3,5,Research Director,4,9,No,17,3,4,80,2,23,0,3
1070,No,Research & Development,2,4,1,3,2,3,Sales Executive,3,6,No,11,3,2,80,1,13,4,3
1071,No,Research & Development,9,3,1,1,3,1,Research Scientist,3,2,No,19,3,2,80,1,18,4,3
1073,No,Research & Development,12,5,1,4,2,3,Manufacturing Director,4,0,No,11,3,2,80,0,15,2,2
1074,No,Research & Development,2,1,1,3,2,4,Manager,1,7,No,15,3,2,80,0,31,3,4
1076,No,Research & Development,25,3,1,3,2,3,Sales Executive,4,5,No,13,3,3,80,1,18,5,3
1077,Yes,Research & Development,9,3,1,4,3,1,Sales Representative,4,1,Yes,14,3,2,80,0,2,3,3
1079,Yes,Research & Development,10,3,1,3,2,1,Laboratory Technician,1,1,No,13,3,1,80,0,1,6,2
1080,No,Research & Development,8,4,1,4,2,2,Research Scientist,1,8,Yes,23,4,1,80,3,19,2,3
1081,Yes,Research & Development,4,4,1,1,3,1,Research Scientist,3,9,Yes,12,3,3,80,3,18,2,4
1082,Yes,Research & Development,24,2,1,2,2,3,Healthcare Representative,1,1,No,12,3,1,80,0,10,2,2
1083,No,Research & Development,1,2,1,1,2,1,Laboratory Technician,1,1,No,16,3,1,80,2,6,2,3
1084,No,Research & Development,20,3,1,3,3,2,Manufacturing Director,1,0,No,15,3,3,80,1,7,1,2
1085,No,Research & Development,7,2,1,2,4,1,Research Scientist,3,1,No,13,3,3,80,0,10,3,3
1088,No,Research & Development,17,1,1,3,2,3,Healthcare Representative,3,0,No,18,3,1,80,1,20,4,2
1092,No,Research & Development,20,4,1,1,3,3,Healthcare Representative,4,4,No,20,4,4,80,1,14,6,3
1094,No,Research & Development,8,5,1,1,1,1,Laboratory Technician,3,1,No,19,3,4,80,3,3,4,3
1096,No,Research & Development,2,1,1,4,3,3,Manufacturing Director,2,3,No,18,3,2,80,1,23,4,3
1097,No,Research & Development,10,3,1,3,3,2,Research Scientist,3,3,No,13,3,4,80,0,10,4,4
1098,Yes,Research & Development,1,2,1,2,2,3,Human Resources,1,9,No,14,3,4,80,1,24,1,3
1099,No,Research & Development,5,3,1,4,2,3,Healthcare Representative,4,4,No,15,3,3,80,1,9,2,3
1100,Yes,Research & Development,4,3,1,4,3,3,Sales Executive,1,0,Yes,22,4,1,80,0,9,2,3
1101,Yes,Research & Development,29,4,1,1,2,2,Research Scientist,3,1,No,22,4,2,80,0,14,4,3
1102,No,Research & Development,15,2,1,1,3,1,Laboratory Technician,3,1,No,16,3,4,80,1,4,5,2
1103,No,Research & Development,3,1,1,1,3,2,Healthcare Representative,4,0,No,17,3,3,80,0,7,1,2
1105,No,Research & Development,10,4,1,4,2,2,Sales Executive,4,2,Yes,14,3,3,80,3,8,5,3
1106,Yes,Research & Development,4,1,1,4,3,1,Laboratory Technician,4,1,Yes,15,3,2,80,1,7,3,4
1107,Yes,Research & Development,21,3,1,1,3,1,Laboratory Technician,3,1,No,20,4,3,80,1,1,0,2
1108,Yes,Research & Development,25,3,1,1,2,1,Research Scientist,2,4,Yes,20,4,2,80,0,5,0,3
1109,No,Research & Development,2,2,1,4,3,4,Manager,1,0,No,17,3,4,80,1,23,3,3
1111,Yes,Research & Development,1,3,1,1,2,1,Laboratory Technician,2,1,No,15,3,1,80,2,1,2,3
1113,Yes,Research & Development,1,4,1,4,3,2,Sales Executive,3,3,Yes,14,3,4,80,0,5,4,3
1114,No,Research & Development,7,3,1,4,3,2,Sales Executive,2,0,No,17,3,3,80,1,4,3,3
1115,No,Research & Development,3,4,1,3,2,1,Research Scientist,4,3,No,17,3,4,80,3,6,2,3
1116,No,Research & Development,1,4,1,1,4,4,Manager,4,2,No,22,4,3,80,0,27,3,2
1117,No,Research & Development,9,4,1,2,2,2,Sales Executive,3,1,No,13,3,4,80,1,15,2,3
1118,No,Research & Development,7,4,1,2,3,3,Healthcare Representative,2,7,No,19,3,4,80,0,18,4,3
1119,No,Research & Development,10,4,1,3,2,3,Sales Executive,3,0,Yes,14,3,2,80,2,9,2,3
1120,No,Research & Development,28,4,1,3,3,1,Research Scientist,4,4,No,22,4,1,80,1,11,1,3
1121,No,Research & Development,3,3,1,4,3,3,Manufacturing Director,2,0,No,17,3,2,80,3,10,3,2
1124,No,Research & Development,3,1,1,1,3,4,Manager,3,3,No,12,3,4,80,1,23,3,3
1125,No,Research & Development,2,2,1,4,3,3,Sales Executive,2,7,No,16,3,3,80,0,10,2,3
1126,No,Research & Development,27,3,1,3,3,3,Manufacturing Director,1,8,No,11,3,3,80,1,18,1,3
1127,Yes,Research & Development,2,3,1,1,3,4,Healthcare Representative,4,7,No,11,3,4,80,3,21,4,3
1128,No,Research & Development,14,3,1,3,2,5,Research Director,3,1,No,14,3,1,80,0,21,2,4
1131,No,Research & Development,1,1,1,4,2,1,Research Scientist,2,1,Yes,11,3,3,80,0,2,6,4
1132,No,Research & Development,9,3,1,3,3,2,Laboratory Technician,2,9,No,15,3,3,80,0,9,2,2
1133,No,Research & Development,18,4,1,1,3,2,Manufacturing Director,4,2,No,20,4,1,80,0,18,0,3
1135,No,Research & Development,20,3,1,3,4,1,Sales Representative,4,0,No,12,3,1,80,1,3,4,3
1136,No,Research & Development,2,1,1,1,2,1,Research Scientist,2,0,No,17,3,1,80,0,6,2,1
1137,No,Research & Development,11,2,1,4,3,2,Sales Executive,4,1,No,11,3,4,80,1,5,3,3
1138,No,Research & Development,8,4,1,4,2,4,Sales Executive,2,6,No,17,3,2,80,1,22,3,3
1140,No,Research & Development,2,2,1,4,3,2,Manufacturing Director,3,2,No,11,3,4,80,0,5,3,2
1143,No,Research & Development,10,3,1,4,3,1,Research Scientist,2,0,No,14,3,4,80,2,8,2,2
1148,No,Research & Development,29,3,1,2,1,2,Laboratory Technician,4,4,No,19,3,1,80,0,16,3,3
1150,No,Research & Development,8,1,1,2,2,2,Manufacturing Director,4,1,Yes,15,3,3,80,1,10,2,2
1152,No,Research & Development,1,3,1,3,4,1,Human Resources,3,1,No,13,3,4,80,1,7,2,4
1154,No,Research & Development,6,3,1,3,2,1,Research Scientist,3,1,Yes,14,3,4,80,1,3,2,3
1156,Yes,Research & Development,8,1,1,3,3,1,Laboratory Technician,3,1,No,12,3,4,80,0,0,0,3
1157,Yes,Research & Development,9,4,1,1,3,2,Sales Executive,1,0,Yes,17,3,1,80,0,6,3,3
1158,No,Research & Development,12,4,1,2,3,1,Laboratory Technician,4,3,Yes,11,3,1,80,1,6,4,3
1160,Yes,Research & Development,15,3,1,3,3,1,Laboratory Technician,3,1,No,12,3,3,80,1,2,5,2
1161,No,Research & Development,25,2,1,3,2,2,Healthcare Representative,4,7,No,13,3,3,80,2,9,2,3
1162,No,Research & Development,6,3,1,4,2,1,Research Scientist,3,1,No,13,3,3,80,1,4,0,3
1163,No,Research & Development,9,1,1,2,3,2,Sales Executive,3,1,No,20,4,1,80,0,6,3,2
1164,No,Research & Development,8,4,1,3,3,1,Human Resources,3,1,No,17,3,2,80,0,6,2,1
1165,Yes,Research & Development,23,1,1,4,2,3,Sales Executive,1,1,No,13,3,1,80,1,11,3,1
1166,No,Research & Development,9,4,1,2,3,3,Research Director,3,9,No,17,3,3,80,0,20,3,2
1167,Yes,Research & Development,12,3,1,3,3,4,Sales Executive,1,0,Yes,12,3,2,80,0,22,2,2
1171,No,Research & Development,4,4,1,2,3,2,Sales Executive,1,7,No,13,3,4,80,0,9,3,4
1172,No,Research & Development,1,4,1,4,2,1,Laboratory Technician,3,6,No,12,3,2,80,1,10,2,3
1173,No,Research & Development,24,3,1,4,3,1,Laboratory Technician,2,8,No,22,4,4,80,0,6,2,3
1175,Yes,Research & Development,12,1,1,3,3,1,Laboratory Technician,4,1,Yes,11,3,4,80,0,1,4,2
1177,No,Research & Development,3,4,1,1,4,1,Laboratory Technician,4,1,No,22,4,2,80,1,8,2,3
1179,No,Research & Development,10,3,1,3,2,2,Sales Executive,3,1,No,18,3,1,80,1,10,3,3
1180,No,Research & Development,26,2,1,3,2,2,Research Scientist,4,3,Yes,13,3,4,80,1,16,3,1
1182,No,Research & Development,2,3,1,3,2,3,Manufacturing Director,2,2,No,18,3,2,80,1,15,2,4
1184,No,Research & Development,1,3,1,4,2,2,Healthcare Representative,1,0,No,20,4,3,80,0,14,3,3
1185,No,Research & Development,4,4,1,4,2,1,Laboratory Technician,4,1,No,13,3,2,80,1,2,2,4
1188,Yes,Research & Development,9,3,1,1,1,2,Sales Executive,3,8,No,13,3,2,80,0,7,2,2
